"data.title"	"data.publication_date"	"data.summary"	"data.url"	"data.ticker"	"data.figi_ticker"	"data.figi"	"result_count"	"page_size"	"current_page"	"total_pages"	"api_call_credits"
"Merck & Co Inc (MRK): What You Have To Know Before Buying For The Upcoming Dividend"	"2017-12-09T18:33:12.000+00:00"	"Important news for shareholders and potential investors in Merck & Co Inc (NYSE:MRK): The dividend payment of $0.48 per share will be distributed into shareholder on 08 January 2018, andRead More..."	"https://finance.yahoo.com/news/merck-co-inc-mrk-know-183312083.html?.tsrc=rss"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Merck & Co Inc (MRK): What You Have To Know Before Buying For The Upcoming Dividend"	"2017-12-09T18:33:12.000+00:00"	"Important news for shareholders and potential investors in Merck & Co Inc (NYSE:MRK): The dividend payment of $0.48 per share will be distributed into shareholder on 08 January 2018, andRead More..."	"https://finance.yahoo.com/news/merck-co-inc-mrk-know-183312083.html?.tsrc=rss"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"New Drugs Approved In November"	"2017-12-07T22:48:00.000+00:00"	"New Drugs Approved In November"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a2R3MLzHcT4/new-drugs-approved-in-november-20171207-01327"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"New Drugs Approved In November"	"2017-12-07T22:48:00.000+00:00"	"New Drugs Approved In November"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a2R3MLzHcT4/new-drugs-approved-in-november-20171207-01327"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Roche's Cancer Drug Combo Effective For Some — But Shares Drop"	"2017-12-07T22:11:08.000+00:00"	"Coupling Roche s RHHBY Tecentriq with chemotherapy and Avastin doubled the percentage of advanced lung cancer patients surviving a year without their disease progressing 160 but shares sank as the benefit seemed to be driven by one segment of the patient"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/q8WImdBYlg8/roches-cancer-drug-combo-effective-for-some-but-shares-drop-cm888523"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Roche's Cancer Drug Combo Effective For Some — But Shares Drop"	"2017-12-07T22:11:08.000+00:00"	"Coupling Roche s RHHBY Tecentriq with chemotherapy and Avastin doubled the percentage of advanced lung cancer patients surviving a year without their disease progressing 160 but shares sank as the benefit seemed to be driven by one segment of the patient"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/q8WImdBYlg8/roches-cancer-drug-combo-effective-for-some-but-shares-drop-cm888523"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Dow Movers: JPM, MRK"	"2017-12-07T17:15:47.000+00:00"	"In early trading on Thursday shares of Merck amp Co MRK topped the list of the day s best performing Dow Jones Industrial Average components trading up 1 8 Year to date Merck amp Co has lost about 6 0 of its value And the worst performing Dow component thus far on the day"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/D-D7_Fqz1g8/dow-movers-jpm-mrk-cm888345"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
"Dow Movers: JPM, MRK"	"2017-12-07T17:15:47.000+00:00"	"In early trading on Thursday shares of Merck amp Co MRK topped the list of the day s best performing Dow Jones Industrial Average components trading up 1 8 Year to date Merck amp Co has lost about 6 0 of its value And the worst performing Dow component thus far on the day"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/D-D7_Fqz1g8/dow-movers-jpm-mrk-cm888345"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Stocks Up Moderately; The Wild Cards In This Market"	"2017-12-07T17:13:52.000+00:00"	"U S stock indexes were mixed in early action as the major indexes chipped in moderate gains and losses The Nasdaq rose 0 15 while small caps advanced confidently ibd display video id 3006975 width 50 float left autostart true The S amp P 500 and the Dow Jones industrial"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BiEKVWI_h4M/stocks-up-moderately-the-wild-cards-in-this-market-cm888305"	"MRK"	"MRK:US"	"BBG000BPD168"	"4164"	"100"	"1"	"42"	"1"
"Stocks Up Moderately; The Wild Cards In This Market"	"2017-12-07T17:13:52.000+00:00"	"U S stock indexes were mixed in early action as the major indexes chipped in moderate gains and losses The Nasdaq rose 0 15 while small caps advanced confidently ibd display video id 3006975 width 50 float left autostart true The S amp P 500 and the Dow Jones industrial"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BiEKVWI_h4M/stocks-up-moderately-the-wild-cards-in-this-market-cm888305"	NA	NA	NA	"4164"	"100"	"1"	"42"	"1"
