"TITLE"	"SUMMARY"	"URL"	"change"
"AstraZeneca diabetes drug combination faces delay after FDA rebuff"	"AstraZeneca diabetes drug combination faces delay after FDA rebuff"	"http://sg.finance.yahoo.com/news/fda-declines-approval-astrazeneca-diabetes-062759040.html"	"N"
"GlaxoSmithKline heart drug flops in study, shingles vaccine on track"	"GlaxoSmithKline heart drug flops in study, shingles vaccine on track"	"http://sg.finance.yahoo.com/news/gsk-heart-drug-disappoints-study-112421216.html"	"N"
"GSK heart drug flops in study, shingles vaccine on track"	"GSK heart drug flops in study, shingles vaccine on track"	"http://uk.finance.yahoo.com/news/gsk-heart-drug-flops-study-121121525.html"	"N"
"Top U.S. drugmakers ride new products to strong results"	"Top U.S. drugmakers ride new products to strong results"	"http://sg.finance.yahoo.com/news/top-u-drugmakers-ride-products-150840833.html"	"Y"
"GSK plan to file up to 20 new drugs by 2020 underwhelms market"	"GSK plan to file up to 20 new drugs by 2020 underwhelms market"	"http://sg.finance.yahoo.com/news/gsk-aims-file-20-drugs-121618738.html"	"N"
"Ex-BNY Mellon employee sentenced to 6 months in U.S. prison"	"Ex-BNY Mellon employee sentenced to 6 months in U.S. prison"	"http://uk.finance.yahoo.com/news/ex-bny-mellon-employee-sentenced-192331920.html"	"N"
"Pfizer set to buy Allergan for more than $150 billion - sources"	"Pfizer set to buy Allergan for more than $150 billion - sources"	"http://sg.finance.yahoo.com/news/pfizer-allergan-approve-merger-agreement-191434496.html"	"N"
"Pfizer set to buy Allergan for more than $150 bln-sources"	"Pfizer set to buy Allergan for more than $150 bln-sources"	"http://uk.finance.yahoo.com/news/pfizer-set-buy-allergan-more-195214555.html"	"N"
"Pfizer-Allergan to take healthcare M&A deals to above $600 billion in 2015"	"Pfizer-Allergan to take healthcare M&A deals to above $600 billion in 2015"	"http://sg.finance.yahoo.com/news/pfizer-allergan-healthcare-m-deals-082621981.html"	"N"
"AstraZeneca chases Acerta to secure next cancer drug winner"	"AstraZeneca chases Acerta to secure next cancer drug winner"	"http://sg.finance.yahoo.com/news/astrazeneca-confirms-talks-cancer-drug-081935545.html"	"N"
"Lufthansa plays down report about new chairman"	"Lufthansa plays down report about new chairman"	"http://sg.finance.yahoo.com/news/merck-kgaa-ceo-interested-becoming-095915398.html"	"Y"
"Merck Acquires IOmet Pharma and Expands Immuno-Oncology Development Program"	"Merck Acquires IOmet Pharma and Expands Immuno-Oncology Development Program"	"http://uk.finance.yahoo.com/news/merck-acquires-iomet-pharma-expands-210800994.html"	"N"
"Gavi signs $5bn Ebola vaccine deal"	"Gavi signs $5bn Ebola vaccine deal"	"http://uk.finance.yahoo.com/news/gavi-signs-5bn-ebola-vaccine-142300530.html"	"N"
"UK watchdog fines GSK $54 mln over 'pay-for-delay' drug deals"	"UK watchdog fines GSK $54 mln over 'pay-for-delay' drug deals"	"http://uk.finance.yahoo.com/news/uk-watchdog-fines-gsk-54-081852182.html"	"N"
"Merck KGaA says consumer health saw 'nice' growth in 2015"	"Merck KGaA says consumer health saw 'nice' growth in 2015"	"http://uk.finance.yahoo.com/news/merck-kgaa-says-consumer-health-091839293.html"	"N"
"Rivals chase Bristol-Myers in cancer immunotherapy drug race"	"Rivals chase Bristol-Myers in cancer immunotherapy drug race"	"http://uk.finance.yahoo.com/news/rivals-chase-bristol-myers-cancer-140807683.html"	"N"
"Study: $3B will be wasted on unused portion of cancer drugs"	"Study: $3B will be wasted on unused portion of cancer drugs"	"http://sg.finance.yahoo.com/news/study-3b-wasted-unused-portion-221510580.html"	"N"
"Merck, Sanofi Pasteur ending JV to market vaccines in Europe"	"Merck, Sanofi Pasteur ending JV to market vaccines in Europe"	"http://sg.finance.yahoo.com/news/merck-sanofi-pasteur-ending-jv-201920347.html"	"N"
"Asian markets mixed ahead of Fed decision, China meeting"	"Asian markets mixed ahead of Fed decision, China meeting"	"http://sg.finance.yahoo.com/news/us-stocks-fall-early-energy-141847606.html"	"N"
"Jury finds for Merck in hepatitis drug fight with Gilead"	"Jury finds for Merck in hepatitis drug fight with Gilead"	"http://sg.finance.yahoo.com/news/jury-finds-merck-hepatitis-drug-222436929.html"	"N"
"Jury: Gilead owes Merck $200M in damages over drug patents"	"Jury: Gilead owes Merck $200M in damages over drug patents"	"http://sg.finance.yahoo.com/news/jury-gilead-owes-merck-200m-151658786.html"	"N"
"Experts warn complacency on Ebola may leave vaccine work unfinished"	"Experts warn complacency on Ebola may leave vaccine work unfinished"	"http://uk.finance.yahoo.com/news/experts-warn-complacency-ebola-may-130001941.html"	"N"
"A look at Bayer AG"	"A look at Bayer AG"	"http://sg.finance.yahoo.com/news/look-bayer-ag-144557233.html"	"N"
"New tests for choosing right hep C drug could save money"	"New tests for choosing right hep C drug could save money"	"http://sg.finance.yahoo.com/news/quest-diagnostics-launches-test-picking-190344752.html"	"N"
"Merck beats 1Q profit views with tight cost controls"	"Merck beats 1Q profit views with tight cost controls"	"http://sg.finance.yahoo.com/news/merck-beats-1q-profit-forecasts-105531380.html"	"N"
"Business Highlights"	"Business Highlights"	"http://sg.finance.yahoo.com/news/business-highlights-212741548.html"	"N"
"Merck to buy biotech drug developer Afferent Pharmaceuticals"	"Merck to buy biotech drug developer Afferent Pharmaceuticals"	"http://sg.finance.yahoo.com/news/merck-buy-biotech-drug-developer-220445075.html"	"N"
"Cavium and Marathon Oil skid, while Kroger and Newmont rise"	"Cavium and Marathon Oil skid, while Kroger and Newmont rise"	"http://sg.finance.yahoo.com/news/cavium-marathon-oil-skid-while-204609149.html"	"Y"
"German pharma lobby says EU drug regulator must leave London"	"German pharma lobby says EU drug regulator must leave London"	"http://uk.finance.yahoo.com/news/german-pharma-lobby-says-eu-072252116.html"	"Y"
"FDA approves first pill to treat all forms of hepatitis C"	"FDA approves first pill to treat all forms of hepatitis C"	"http://sg.finance.yahoo.com/news/fda-approves-first-pill-treat-151727935.html"	"Y"
"Dietmar Eidens Appointed Chief HR Officer (CHRO) of Merck"	"[at noodls] - 20160715_Press_Release_Merck_Eidens_Head_HR_en News Release Your Contact Gangolf Schrimpf +49 6151 72-9591 July 15, 2016 Kai Beckmann retains Executive Board responsibility for Group Human Resources Darmstadt, ..."	"http://www.publicnow.com/view/416A131133A392CF7FDAF86AAD03170BB5757622"	"N"
"UK charity pockets $150 million from Merck cancer immunotherapy drug"	"UK charity pockets $150 million from Merck cancer immunotherapy drug"	"http://sg.finance.yahoo.com/news/uk-charity-pockets-150-million-230205535.html"	"N"
