"TITLE"	"SUMMARY"	"URL"	"change"
"U.S. politicians slam tax-avoiding Pfizer-Allergan deal"	"U.S. politicians slam tax-avoiding Pfizer-Allergan deal"	"http://in.finance.yahoo.com/news/u-politicians-slam-tax-avoiding-031502091.html"	"Y"
"Pfizer to buy Allergan in $160 billion deal"	"Pfizer to buy Allergan in $160 billion deal"	"http://in.finance.yahoo.com/news/pfizer-buy-allergan-160-billion-031502366.html"	"Y"
"U.S. Republican Trump calls Pfizer deal to move tax base overseas 'disgusting'"	"U.S. Republican Trump calls Pfizer deal to move tax base overseas 'disgusting'"	"http://in.finance.yahoo.com/news/u-republican-trump-calls-pfizer-231414619.html"	"Y"
"Politicians slam tax-avoiding Pfizer-Allergan mega-deal"	"Politicians slam tax-avoiding Pfizer-Allergan mega-deal"	"http://in.finance.yahoo.com/news/politicians-slam-tax-avoiding-pfizer-223212273.html"	"Y"
"Pfizer, IIT-Delhi collaborate for healthcare incubation"	"Pfizer, IIT-Delhi collaborate for healthcare incubation"	"http://in.finance.yahoo.com/news/pfizer-iit-delhi-collaborate-healthcare-180005588.html"	"Y"
"Pfizer 2016 forecasts disappoint; shares fall"	"Pfizer 2016 forecasts disappoint; shares fall"	"http://in.finance.yahoo.com/news/pfizer-forecasts-2016-revenue-earnings-125059659.html"	"N"
"Medecins Sans Frontieres files to block Pfizer patent on pneumonia vaccine in India"	"Medecins Sans Frontieres files to block Pfizer patent on pneumonia vaccine in India"	"http://in.finance.yahoo.com/news/medecins-sans-frontieres-files-block-131709859.html"	"Y"
"Delhi High Court stays government ban on Pfizer's Corex cough syrup - TV"	"Delhi High Court stays government ban on Pfizer's Corex cough syrup - TV"	"http://in.finance.yahoo.com/news/delhi-high-court-stays-government-114338936.html"	"N"
"Delhi High Court grants Pfizer temporary relief on cough syrup ban"	"Delhi High Court grants Pfizer temporary relief on cough syrup ban"	"http://in.finance.yahoo.com/news/delhi-high-court-grants-pfizer-023422890.html"	"N"
"Obama's inversion curbs kill Pfizer's $160 bln Allergan deal"	"Obama's inversion curbs kill Pfizer's $160 bln Allergan deal"	"http://in.finance.yahoo.com/news/obamas-inversion-curbs-kill-pfizers-062325568.html"	"Y"
