TICKER	FIGI_TICKER	FIGI	TITLE	PUBLICATION_DATE	URL	SUMMARY
XOM	XOM:US	BBG000GZQ728	5 Top Oil Dividend Stocks to Buy Now	2017-12-09T15:33:00.000+00:00	https://finance.yahoo.com/news/5-top-oil-dividend-stocks-153300252.html?.tsrc=rss	"While oil stock dividends are down significantly in recent years due to lower prices, these five producers offer attractive yields that they can easily support at current oil prices."
XOM	XOM:US	BBG000GZQ728	Energy Recap: The Tax Bills Vs. Sustainable Energy	2017-12-09T01:12:17.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DnUFck74BT0/energy-recap-the-tax-bills-vs-sustainable-energy-cm889247	By SA Editor Michelle Carini BySA Editor Michelle Carini Welcome to the latest edition of the Energy Recap On Saturday Dec 2 the Senate passed an extensive tax bill which along with the House tax reform bill passed last month could have a negative impact on the sustainable
XOM	XOM:US	BBG000GZQ728	Eni Meets $4.7 Billion Financial Close for Coral South FLNG	2017-12-08T23:10:56.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/1zFYChQ4IRU/eni-meets-47-billion-financial-close-for-coral-south-flng-cm889204	Eni S p A E recently announced that it has achieved financial closure for the Coral South floating liquefied natural gas FLNG project located in Area 4 of Rovuma Basin offshore Mozambique Investors should know that 4 7 billion financing for the FLNG development has been confirmed by
XOM	XOM:US	BBG000GZQ728	Italy's Eni targets plastics purchase in strategy shift - sources	2017-12-08T22:11:59.000+00:00	https://finance.yahoo.com/news/italys-eni-targets-plastics-purchase-170542727.html?.tsrc=rss	"Energy firm Eni aims to express an interest in bidding for an Italian bioplastics business in a move that underlines a longer-term desire to hedge its exposure to oil and gas, financial sources said.  Eni wants to revive its chemicals, retail and refining businesses to offset volatility in oil prices and regain favour with investors after its shares underperformed those of industry rivals in the past three years, the sources said.  The state-controlled major is looking at the Italian assets of bioplastics multinational Mossi Ghisolfi, which has been put under creditor protection, two banking sources said."
XOM	XOM:US	BBG000GZQ728	Where Will Chevron (CVX) Spend the Bulk of Its 2018 Capex?	2017-12-08T20:13:45.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7ZvTcV6X3ck/where-will-chevron-cvx-spend-the-bulk-of-its-2018-capex-cm889106	Chevron Corporation CVX offered a glimpse of its 2018 capital spending plans The company has set its capital and exploratory budget at 18 3 billion down by 4 from its 2017 projected investment of less than 19 billion Next year s budget is also around 18 lower than the company s
XOM	XOM:US	BBG000GZQ728	Koch-Backed Business Group Splinters in Climate-Change Dispute	2017-12-08T17:49:31.000+00:00	http://finance.yahoo.com/r/981c1af4-8efa-3aeb-b652-d4a4e38d8f3b/corporate-revolt-has-business-group-at-a-crossroads-over-climate?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&cmpId=yhoo.headline&yptr=yahoo&.tsrc=rss	"A business-backed group that rose to prominence by prodding state legislatures to cut taxes, environmental regulations and gun restrictions, now finds itself at a crossroads amid declining membership and ..."
XOM	XOM:US	BBG000GZQ728	First Mobil gas station opens in Mexico.	2017-12-08T16:17:32.000+00:00	https://www.yahoo.com/news/first-mobil-gas-station-opens-161732525.html?.tsrc=rss	"Exxon Mobil opened its first gas station in Quertaro, Mexico. As Fred Katayama reports, this follows Mexico's market reforms that ended Pemex's monopoly in everything from crude production to retail sales."
XOM	XOM:US	BBG000GZQ728	Enbridge Fetches C$1.5 Billion From Common Stock Offering	2017-12-08T15:15:39.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/1uYv82z9Erw/enbridge-fetches-c15-billion-from-common-stock-offering-cm888836	Enbridge Inc ENB recently announced the conclusion of a common stock offering A total of 33 456 003 stocks were offered to select investors through private placement that fetched as much as C 1 5 billion The firm will likely utilize the proceeds to finance capital projects and lower
XOM	XOM:US	BBG000GZQ728	BP to Spend $227 Million on New Lubricant Facility in China	2017-12-08T14:02:02.000+00:00	https://finance.yahoo.com/news/bp-spend-227-million-lubricant-140202268.html?.tsrc=rss	BP looks to capture the growing market of premium lubricants in the world&apos;s second-largest economy.
XOM	XOM:US	BBG000GZQ728	ExxonMobil-Grupo to Penetrate Mexican Fuel Business	2017-12-08T13:31:01.000+00:00	https://finance.yahoo.com/news/exxonmobil-grupo-penetrate-mexican-fuel-133101036.html?.tsrc=rss	"Being the first company to capitalize on Mexico&apos;s new energy model, ExxonMobil (XOM) will benefit by offering an integrated product offering in the entire fuels value chain."
