"TITLE"	"SUMMARY"	"URL"	"change"
"Exxon 3rd-qtr profit falls 47 pct but beats expectations"	"Exxon 3rd-qtr profit falls 47 pct but beats expectations"	"http://in.finance.yahoo.com/news/exxon-3rd-qtr-profit-falls-181434629.html"	"Y"
"Exxon, tops in stock buybacks, now saving its cash"	"Exxon, tops in stock buybacks, now saving its cash"	"http://in.finance.yahoo.com/news/exxons-4th-quarter-profit-tumbles-131754116.html"	"Y"
"Exclusive - Exxon Mobil must allow climate change vote: SEC"	"Exclusive - Exxon Mobil must allow climate change vote: SEC"	"http://in.finance.yahoo.com/news/exclusive-exxon-mobil-must-allow-213204513.html"	"N"
"Exxon Mobil first-quarter profit drops 63 percent"	"Exxon Mobil first-quarter profit drops 63 percent"	"http://in.finance.yahoo.com/news/exxon-mobil-first-quarter-profit-120944177.html"	"N"
"Dutch lower Groningen gas production cap to 24 bcm"	"Dutch lower Groningen gas production cap to 24 bcm"	"http://uk.finance.yahoo.com/news/dutch-lower-groningen-gas-production-130521588.html"	"Y"
"Netherlands to cut more Groningen gas production"	"Netherlands to cut more Groningen gas production"	"http://uk.finance.yahoo.com/news/netherlands-cut-more-groningen-gas-124956196.html"	"Y"
"California pipeline leaks 700 barrels of oil - fire department"	"California pipeline leaks 700 barrels of oil - fire department"	"http://uk.finance.yahoo.com/news/california-pipeline-leaks-700-barrels-160744530.html"	"Y"
"Aera Energy says it was not owner of spilled California oil"	"Aera Energy says it was not owner of spilled California oil"	"http://uk.finance.yahoo.com/news/aera-energy-says-not-owner-183449462.html"	"Y"
"Engie says would have to shut output at Norway's Gjoea field if strike goes ahead"	"Engie says would have to shut output at Norway's Gjoea field if strike goes ahead"	"http://uk.finance.yahoo.com/news/engie-says-may-shut-output-141004022.html"	"N"
"Indonesia's Pertamina to appoint Shell to process Iraq crude -official"	"Indonesia's Pertamina to appoint Shell to process Iraq crude -official"	"http://uk.finance.yahoo.com/news/indonesias-pertamina-appoint-shell-process-113202215.html"	"N"
